Stock,Open (Buy),nr. shares,price/share,buy value,Date,Close (Sell),nr. shares.1,price/share.1,sell value,Date.1,col1,buy_date_new
AAPL,B,0.01,142,1.42,27.01.2021,S,0.01,146,1.45,29.07.2021,,1/27/2021
AAPL,B,0.01,125.87,1.26,28.08.2020,S,0.01,136.00,1.35,04.02.2021,,8/28/2020
AAPL,B,0.07,125.87,8.81,28.08.2020,S,0.07,116.29,8.13,09.10.2020,,8/28/2020
AAPL,B,1,131.13,132.36,01.09.2020,S,1,120.01,120.00,17.11.2020,,9/1/2020
AAPL,B,1.07,115.60,124.90,15.09.2020,S,1.07,114.80,122.83,08.10.2020,,9/15/2020
AAPL,B,0.5,114.98,57.49,06.10.2020,S,0.5,115.04,57.51,07.10.2020,,10/6/2020
AMC,B,10,10,100,28.01.2021,S,10,8.91,89.09,02.03.2021,,1/28/2021
AMC,B,0.55,10.8,5.94,28.01.2021,S,0.55,11.27,6.2,26.04.2021,,1/28/2021
AMC,B,4,13.22,52.88,29.01.2021,S,4,13.98,55.93,18.03.2021,,1/29/2021
AMC,B,4,13.22,52.88,29.01.2021,S,4,11.08,44.33,23.03.2021,,1/29/2021
AMC,B,0.45,10.2,4.59,31.03.2021,S,0.45,11.27,5.07,26.04.2021,,3/31/2021
AMC,B,10,8.8,88.05,12.04.2021,S,10,9.91,99.09,15.04.2021,,4/12/2021
AMC,B,10,10.13,101.3,23.04.2021,S,10,11.27,112.69,26.04.2021,,4/23/2021
AMC,B,1,49.5,49.5,08.07.2021,S,1,22.27,22.26,05.08.2022,,7/8/2021
AMC,B,0.7,36.91,25.84,07.10.2021,S,0.7,37.41,26.18,13.10.2021,,10/7/2021
AMC,B,1,36.76,36.76,29.11.2021,S,1,22.27,22.26,05.08.2022,,11/29/2021
AMC,B,10,12.72,127.19,27.06.2022,S,10,13.98,139.79,27.06.2022,,6/27/2022
AMC,B,10,13.66,136.59,28.06.2022,S,10,14.67,146.68,07.07.2022,,6/28/2022
AMD,B,0.1,84.5,8.45,05.08.2020,S,0.1,81.4,8.13,21.04.2021,,8/5/2020
AMD,B,0.05,79.4,5.18,11.08.2020,S,0.05,83.66,4.18,05.10.2020,,8/11/2020
AMD,B,0.45,78.33,36.46,16.09.2020,S,0.45,83.66,37.64,05.10.2020,,9/16/2020
AMD,B,0.09,86.7,7.8,07.10.2035,S,0.09,85.33,7.67,06.10.2020,,10/7/2035
AMD,B,0.01,86.7,0.87,07.10.2035,S,0.01,86,0.85,06.10.2020,,10/7/2035
AMD,B,0.6,84.33,50.6,12.10.2020,S,0.6,81.1,48.65,21.10.2020,,10/12/2020
AMZN,B,0.01,3050,30.5,10.11.2020,S,0.01,3331,33.3,18.02.2021,,11/10/2020
AMZN,B,0.0025,3184,7.96,05.08.2020,S,0.0025,3179.66,7.95,05.10.2020,,8/5/2020
AMZN,B,0.05,3130.4,157.73,16.09.2020,S,0.05,3176,158.8,07.10.2025,,9/16/2020
AMZN,B,0.01,3002.67,30.02,17.09.2020,S,0.01,3155.14,31.55,17.11.2020,,9/17/2020
AMZN,B,0.035,3002.67,105.09,17.09.2020,S,0.035,3155.14,110.42,17.11.2020,,9/17/2020
AMZN,B,0.05,3147,157.35,06.10.2020,S,0.05,3179.66,158.97,05.10.2020,,10/6/2020
AMZN,B,0.01,3179,31.79,08.10.2020,S,0.01,3179.66,31.79,05.10.2020,,10/8/2020
AMZN,B,0.025,3306.8,82.67,15.10.2020,S,0.025,3179.66,79.49,05.10.2020,,10/15/2020
APPN,B,0.02,82,1.64,13.10.2020,S,0.02,99.5,1.98,16.09.2021,,10/13/2020
APPS,B,0.1,36.1,3.61,08.10.2020,S,0.1,67.9,6.78,22.09.2021,,10/8/2020
APPS,B,2,38,76,12.10.2020,S,2,38.13,76.25,19.10.2020,,10/12/2020
APPS,B,4,39.87,159.48,05.11.2020,S,4,45.15,180.59,30.11.2020,,11/5/2020
APPS,B,3,65.71,197.13,06.08.2021,S,3,69.5,208.49,30.09.2021,,8/6/2021
AZN,B,0.05,54,2.7,23.11.2020,S,0.05,53.2,2.65,21.04.2021,,11/23/2020
AZN,B,1,53.85,53.85,04.12.2020,S,1,48.86,48.85,23.12.2020,,12/4/2020
BB,B,10,15.5,155,28.01.2021,S,10,15.79,157.89,02.06.2021,,1/28/2021
BB,B,2,15.44,30.88,28.01.2021,S,2,13.01,26.01,12.02.2021,,1/28/2021
BB,B,5,10.76,53.8,18.03.2021,S,5,11.01,55.04,01.06.2021,,3/18/2021
BB,B,3,9.48,28.44,26.03.2021,S,3,8.19,24.56,10.05.2021,,3/26/2021
BB,B,1,13.97,13.97,15.06.2021,S,1,6.18,6.18,23.08.2022,,6/15/2021
BB,B,1.75,6.78,11.87,01.03.2022,S,1.75,6.18,10.81,23.08.2022,,3/1/2022
BB,B,2.25,7.46,16.79,31.03.2022,S,2.25,6.18,13.9,23.08.2022,,3/31/2022
BB,B,3,6.1,18.3,26.05.2022,S,3,6.15,18.26,02.06.2022,,5/26/2022
BNTX,B,0.01,104,1.04,09.11.2020,S,0.01,120,1.19,10.02.2021,,11/9/2020
BNTX,B,1,104,104,20.11.2020,S,1,110.51,110.5,15.12.2020,,11/20/2020
BNTX,B,1,120,120,14.12.2020,S,1,114.27,114.26,29.01.2021,,12/14/2020
BNTX,B,1.5,107.97,161.96,26.01.2021,S,1.5,110.03,165.04,28.01.2021,,1/26/2021
DDOG,B,0.01,100,1,08.12.2020,S,0.01,152,1.51,13.10.2021,,12/8/2020
DDOG,B,0.9,89.66,80.69,16.09.2020,S,0.9,103.07,92.75,30.09.2020,,9/16/2020
DDOG,B,0.5,106.84,53.42,05.10.2020,S,0.5,113.7,56.84,14.10.2020,,10/5/2020
DDOG,B,0.2,103.7,20.74,08.10.2020,S,0.2,113.7,22.74,14.10.2020,,10/8/2020
DDOG,B,1,109.59,109.59,20.10.2020,S,1,110,109.99,25.01.2021,,10/20/2020
DDOG,B,0.1,89.66,8.96,16.09.2020,S,0.1,110,11,25.01.2021,,9/16/2020
ENPH,B,0.01,107,1.07,08.10.2020,S,0.01,118,1.17,10.05.2021,,10/8/2020
ENPH,B,1,148.25,148.25,29.04.2021,S,1,163.04,163.03,21.06.2021,,4/29/2021
FB,B,0.05,293.4,14.67,28.08.2020,S,0.05,310.4,15.51,12.04.2021,,8/28/2020
FB,B,0.46,269.83,124.12,10.11.2020,S,0.46,276.98,127.4,13.11.2020,,11/10/2020
FB,B,0.2,269.09,55.03,16.09.2020,S,0.2,262.8,52.55,08.10.2020,,9/16/2020
FB,B,0.8,269.09,215.27,16.09.2020,S,0.8,274.91,219.92,13.10.2020,,9/16/2020
FB,B,0.2,262.3,52.46,06.10.2020,S,0.2,262.55,52.5,08.10.2020,,10/6/2020
FB,B,0.4,264.32,105.73,20.10.2020,S,0.4,282.22,112.88,27.10.2020,,10/20/2020
